"year" "prec" "sun_hours" "temp_max" "temp_min" "temp_min_ground" "vap_pressure" "wind_vel"
1990 593.1 4.30328767123288 14.4961643835616 6.23041095890411 4.49315068493151 9.69260273972603 2.3293956043956
1991 456.5 4.35452054794521 13.3909589041096 4.90849315068493 2.92191780821918 9.2172602739726 1.82647887323944
1992 644.9 4.26366120218579 14.2 5.91010928961749 4.35928961748634 9.65300546448087 1.88360655737705
1993 770.5 4.20575342465753 13.1934246575342 4.97890410958904 3.3013698630137 9.14657534246575 2.35920577617329
1994 730.2 4.04438356164384 14.1641095890411 5.69808219178082 4.63461538461539 10.0441095890411 3.48121387283237
1995 616.9 4.16739726027397 13.3928767123288 4.68219178082192 3.69013698630137 9.82301369863014 3.26493150684932
1996 542.9 3.5207650273224 11.325956284153 3.11502732240437 1.90846994535519 8.97459016393443 3.07896174863388
1997 580 4.51561643835616 13.5898630136986 4.58575342465753 3.34739726027397 9.67616438356164 3.20328767123288
1998 756.8 3.49694444444444 13.3783561643836 5.2441095890411 4.07123287671233 10.0038356164384 3.53205479452055
1999 612.4 4.22904109589041 14.3161643835616 5.49260273972603 4.22383561643836 10.0931506849315 3.47342465753425
2000 570.7 4.08333333333333 14.4669398907104 5.93387978142076 4.58114754098361 10.3767759562842 3.41120218579235
2001 646.1 3.94 13.5323287671233 4.93890410958904 3.49178082191781 9.99178082191781 3.14054794520548
2002 861.5 3.82465753424658 13.7312328767123 5.35452054794521 3.65808219178082 10.3232876712329 3.25150684931507
2003 463.9 5.33506849315069 14.6027397260274 4.0813698630137 2.30712328767123 9.49643835616438 3.12596685082873
2004 674.1 4.13169398907104 13.405737704918 4.46338797814208 2.69590163934426 9.64945355191257 3.25109289617486
2005 584.8 4.66356164383562 13.9068493150685 4.58602739726027 2.82575342465753 9.90602739726027 3.15123287671233
2006 525.4 4.87945205479452 14.3002739726027 4.90739726027397 3.04821917808219 10.0950684931507 3.1772602739726
2007 891.5 4.12794520547945 14.3495890410959 5.57643835616438 4.01452054794521 10.1301369863014 3.36383561643836
2008 575.8 4.13551912568306 14.0571038251366 5.16448087431694 3.52404371584699 9.73469945355191 3.07197802197802
2009 640.3 4.10904109589041 13.7553424657534 4.24027397260274 2.61260273972603 9.93972602739726 2.88739726027397
